name,url,birthplace,
Arturs Kulda',http://sportsforecaster.com/nhl/player/5993,,
Atte Engren',http://sportsforecaster.com/nhl/player/5847,,
Austen Brassard',http://sportsforecaster.com/nhl/player/8737,,
Austin Carroll',http://sportsforecaster.com/nhl/player/9779,,
Austin Levi',http://sportsforecaster.com/nhl/player/8475,,
Austin Madaisky',http://sportsforecaster.com/nhl/player/7913,,
Austin Smith',http://sportsforecaster.com/nhl/player/6478,,
Austin Wuthrich',http://sportsforecaster.com/nhl/player/9111,,
B.J. Crombeen',http://sportsforecaster.com/nhl/player/3560,USA,
Barret Jackman',http://sportsforecaster.com/nhl/player/1923,CAN,
Barry Brust',http://sportsforecaster.com/nhl/player/2889,CAN,
Barry Tallackson',http://sportsforecaster.com/nhl/player/2943,USA,
Bates Battaglia',http://sportsforecaster.com/nhl/player/379,USA,
Beau Bennett',http://sportsforecaster.com/nhl/player/7945,USA,
Beau Schmitz',http://sportsforecaster.com/nhl/player/7396,USA,
Ben Betker',http://sportsforecaster.com/nhl/player/10435,CAN,
Ben Blood',http://sportsforecaster.com/nhl/player/6192,USA,
Ben Clymer',http://sportsforecaster.com/nhl/player/721,USA,
Ben Eager',http://sportsforecaster.com/nhl/player/3177,CAN,
Ben Eaves',http://sportsforecaster.com/nhl/player/2506,USA,
Ben Guite',http://sportsforecaster.com/nhl/player/1251,CAN,
Ben Hanowski',http://sportsforecaster.com/nhl/player/7460,USA,
Ben Holmstrom',http://sportsforecaster.com/nhl/player/7977,USA,
Ben Johnson',http://sportsforecaster.com/nhl/player/9390,USA,
Ben Maxwell',http://sportsforecaster.com/nhl/player/5696,CAN,
Ben Ondrus',http://sportsforecaster.com/nhl/player/4475,CAN,
Ben Scrivens',http://sportsforecaster.com/nhl/player/8430,CAN,
Ben Smith',http://sportsforecaster.com/nhl/player/5620,USA,
Ben Street',http://sportsforecaster.com/nhl/player/5658,CAN,
Ben Thomson',http://sportsforecaster.com/nhl/player/9219,CAN,
Ben Walter',http://sportsforecaster.com/nhl/player/4848,CAN,
Ben Winnett',http://sportsforecaster.com/nhl/player/6269,CAN,
Benn Ferriero',http://sportsforecaster.com/nhl/player/5191,USA,
Benoit Pouliot',http://sportsforecaster.com/nhl/player/4961,CAN,
Bill Arnold',http://sportsforecaster.com/nhl/player/7931,USA,
